Position Strand Score
-998965 + 7.0838
-998785 + 5.5454
-997512 + 9.1778
-996403 + 9.7016
-996204 + 5.7620
-995667 + 5.3093
-993964 + 6.4783
-993748 + 9.9642
-993123 + 5.2827
-991487 + 8.4258
-990846 + 6.1509
-990730 + 5.1363
-990400 + 9.9642
-989259 + 6.1509
-988856 + 6.8212
-988761 + 7.4929
-987489 + 10.8971
-986878 + 5.3529
-986454 + 5.1628
-983190 + 6.1509
-983072 + 6.1509
-981457 + 5.3093
-981449 + 6.6949
-977321 + 6.8212
-977024 + 5.1628
-976703 + 5.5454
-975942 + 5.5719
-975747 + 5.5454
-974703 + 9.5551
-973446 + 6.0957
-973412 + 7.4929
-973314 + 6.4783
-973287 + 5.2536
-973276 + 8.0167
-972736 + 10.1107
-972275 + 6.0957
-971962 + 5.8883
-971342 + 5.3529
-970801 + 5.2536
-970618 + 9.5551
-970301 + 5.5719
-969918 + 8.7687
-968318 + 5.5719
-967744 + 6.0692
-966163 + 7.4929
-965593 + 5.8883
-965062 + 5.5719
-964202 + 5.1628
-962652 + 6.1865
-962222 + 6.8212
-962106 + 8.1632
-962033 + 6.8212
-961827 + 5.3093
-961002 + 8.0167
-960752 + 5.5719
-960304 + 5.5454
-960174 + 5.1628
-959753 + 7.0838
-959082 + 6.8212
-959028 + 6.5048
-956813 + 5.5719
-956205 + 6.1865
-954982 + 8.6223
-953132 + 6.0957
-952853 + 5.1363
-951531 + 5.5719
-951089 + 6.6747
-947916 + 11.9118
-946923 + 5.1363
-945990 + 7.0838
-945911 + 6.4783
-945029 + 5.5719
-944782 + 6.2974
-943369 + 5.5719
-943219 + 6.6747
-942377 + 5.2536
-942303 + 7.2303
-942164 + 5.3093
-941988 + 6.2974
-941556 + 5.9810
-940316 + 5.1363
-940147 + 8.0432
-940038 + 6.6747
-939818 + 5.2536
-939607 + 7.7249
-939347 + 5.2827
-939189 + 7.7249
-937971 + 10.3071
-937767 + 8.3596
-937630 + 5.1628
-937567 + 10.3071
-937534 + 10.3071
-937471 + 6.1509
-937404 + 8.3596
-937287 + 5.3093
-937137 + 8.7687
-936851 + 9.1778
-936781 + 11.9118
-936733 + 7.0838
-936684 + 11.9118
-936636 + 9.0314
-936277 + 9.9642
-936179 + 8.3596
-936104 + 8.0432
-936063 + 5.3093
-935922 + 10.3071
-935461 + 14.3831
-935127 + 6.6747
-934965 + 6.0957
-934933 + 6.8212
-934870 + 8.6223
-934514 + 9.5551
-934418 + 8.3596
-934227 + 9.5551
-933806 + 5.9810
-933508 + 7.2303
-930818 + 9.5551
-930397 + 5.9810
-927412 + 9.5551
-926991 + 5.9810
-926693 + 7.2303
-923996 + 9.5551
-923575 + 5.9810
-923277 + 7.2303
-923076 + 5.3093
-923067 + 11.6491
-922542 + 7.0838
-922289 + 5.5454
-921358 + 8.7687
-921350 + 6.1865
-920015 + 5.3093
-919884 + 7.7249
-919794 + 5.9810
-919689 + 6.8212
-919261 + 9.9642
-918294 + 6.4783
-917702 + 6.1865
-917553 + 11.9118
-917294 + 12.8447
-917265 + 8.0432
-914186 + 5.3093
-913537 + 8.6223
-913312 + 5.2536
-913066 + 5.1628
-912909 + 5.1363
-912905 + 6.1509
-912591 + 9.0314
-911980 + 9.0314
-911541 + 7.4929
